Store,Country,Region,Date,Item,Salesperson,List Price,Actual Price,Discount %,,,,
Moscow,Russia,EMEA,6/10/2018,Microwave,May Wilmot,80,79,1.25%,,,,
Toronto,Canada,Americas,4/23/2015,Microwave,David Shiner,80,54,32.50%,,,,
Sao Paolo,Brazil,Americas,3/4/2017,Air conditioner,Gary Reynolds,700,686,2.00%,,,,
Istanbul,Turkey,EMEA,8/14/2018,Ceiling fan,Mark Buntain,150,137,8.67%,,,,
Sydney,Australia,APAC,3/3/2015,Toaster,Christine Davies,50,37,26.00%,,,,
Shenzhen,China,APAC,4/25/2016,Iron,Gary Shaw,30,29,3.33%,,,,
Lima,Peru,Americas,6/6/2016,Dishwasher,Christopher Cresswell,500,465,7.00%,,,,
Tijuana,Mexico,Americas,7/6/2016,Iron,Gillian Allnutt,30,28,6.67%,,,,
London,UK,EMEA,11/12/2015,Washing Machine,Francis Godden,800,760,5.00%,,,,
Lima,Peru,Americas,7/9/2014,Iron,Christopher Cresswell,30,28,6.67%,,,,
Riyadh,Saudi Arabia,EMEA,7/10/2017,Refrigerator,Danny Brooks,1000,500,50.00%,,,,
Bangkok,Thailand,APAC,8/21/2014,Air conditioner,John Jenkins,700,679,3.00%,,,,
Tijuana,Mexico,Americas,9/3/2015,Iron,Richard Allnutt,30,28,6.67%,,,,
Delhi,India,APAC,5/30/2014,Oven,Tessa Morrow,500,490,2.00%,,,,
Sydney,Australia,APAC,12/11/2018,Washing Machine,James Ricketts,800,672,16.00%,,,,
Ho Chi Minh City,Vietnam,APAC,5/24/2015,Microwave,Susan Dixon,80,78,2.50%,,,,
Tel Aviv,Israel,EMEA,6/12/2014,Refrigerator,Thomas Gordon,1000,620,38.00%,,,,
Athens,Greece,EMEA,11/7/2017,Oven,David Walker,500,500,0.00%,,,,
Toronto,Canada,Americas,11/3/2014,Ceiling fan,Robin Hall,150,150,0.00%,,,,
Osaka,Japan,APAC,7/23/2016,Refrigerator,Kenneth Walter,1000,950,5.00%,,,,
Prague,Czech Republic,EMEA,9/28/2017,Washing Machine,Edward Khan,800,736,8.00%,,,,
Capetown,South Africa,EMEA,4/17/2015,Iron,Nicholas Holloway,30,22,26.67%,,,,
Bangalore,India,APAC,11/13/2018,Coffee grinder,Delia Muhammad,70,67,4.29%,,,,
Seattle,USA,Americas,2/13/2018,Iron,Lesleyann Pope,30,27,10.00%,,,,
Jerusalem,Israel,EMEA,2/20/2018,Oven,Susan Carley,500,495,1.00%,,,,
Birmingham,UK,EMEA,3/22/2016,Vacuum Cleaner,Damien Smith,250,238,4.80%,,,,
Seoul,South Korea,APAC,2/7/2017,Vacuum Cleaner,Steven Wood,250,240,4.00%,,,,
Toronto,Canada,Americas,1/23/2016,Blender,David Shiner,50,43,14.00%,,,,
Guangzhou,China,APAC,10/28/2015,Oven,Glenys Wright,500,495,1.00%,,,,
Berlin,Germany,EMEA,12/14/2017,Coffee grinder,Kate Pearce,70,64,8.57%,,,,
Kansas City,USA,Americas,7/10/2014,Ceiling fan,Robert Arnold,150,138,8.00%,,,,
Tokyo,Japan,APAC,10/19/2014,Ceiling fan,David Gow,150,117,22.00%,,,,
Moscow,Russia,EMEA,10/19/2014,Refrigerator,Darren Brooks,1000,910,9.00%,,,,
Capetown,South Africa,EMEA,12/13/2018,Washing Machine,Nicholas Holloway,800,584,27.00%,,,,
Bangkok,Thailand,APAC,10/13/2015,Microwave,Mayank Ali,80,77,3.75%,,,,
Delhi,India,APAC,11/23/2018,Oven,Glen Campbell,500,500,0.00%,,,,
Sao Paolo,Brazil,Americas,7/31/2016,Ceiling fan,Stephen Smith,150,146,2.67%,,,,
Paris,France,EMEA,11/30/2015,Dishwasher,Caroline Eccles,500,460,8.00%,,,,
Rome,Italy,EMEA,8/15/2018,Blender,Steven Bell,50,43,14.00%,,,,
Los Angeles,USA,Americas,9/15/2017,Microwave,Colin Matthews,80,72,10.00%,,,,
New York,USA,Americas,7/20/2017,Microwave,Stephen Cohen,80,75,6.25%,,,,
Sydney,Australia,APAC,10/30/2016,Iron,William Martin,30,26,13.33%,,,,
Ho Chi Minh City,Vietnam,APAC,3/25/2018,Iron,Michael Bell,30,26,13.33%,,,,
Shenzhen,China,APAC,7/27/2017,Washing Machine,Roger Rust,800,640,20.00%,,,,
Athens,Greece,EMEA,11/16/2016,Washing Machine,Richard Perrott,800,520,35.00%,,,,
Birmingham,UK,EMEA,1/20/2018,Vacuum Cleaner,Robert Reed,250,220,12.00%,,,,
Warsaw,Poland,EMEA,3/2/2015,Air conditioner,Hin Bragg,700,434,38.00%,,,,
Amsterdam,Netherlands,EMEA,2/11/2015,Microwave,Allyson Rush,80,50,37.50%,,,,
Toronto,Canada,Americas,9/6/2017,Vacuum Cleaner,Stephen James,250,238,4.80%,,,,
Prague,Czech Republic,EMEA,10/24/2017,Ceiling fan,Christopher Martin,150,140,6.67%,,,,
San Fransisco,USA,Americas,11/21/2015,Refrigerator,James Scott,1000,740,26.00%,,,,
Rome,Italy,EMEA,6/9/2014,Iron,Elaine Whitfield,30,25,16.67%,,,,
Dublin,Ireland,EMEA,10/23/2017,Air conditioner,James Carley,700,665,5.00%,,,,
Bangalore,India,APAC,7/15/2014,Dishwasher,Francis Walsh,500,425,15.00%,,,,
Moscow,Russia,EMEA,9/16/2014,Microwave,Rita Hill,80,78,2.50%,,,,
Tel Aviv,Israel,EMEA,5/10/2015,Blender,Deanna Wang,50,39,22.00%,,,,
